month,revenue_tm0,revenue_tm1,streams_tm0,streams_tm1,streams_tm2,facebook_likes,facebook_talks,instagram_followers,spotify_followers,spotify_listeners,spotify_popularity,wikipedia_views,youtube_comments,youtube_subscribers,youtube_videos,youtube_views
3/1/17,19166.49911,19165.39939,5020043,5096620,5798629,0,0,0,252195,0,0,228,0,0,0,0
5/1/17,18664.61626,20038.38852,5580329,5408426,5020043,2024,0,0,267418,0,0,207,0,127281,286786,25659855
6/1/17,19581.21457,18664.61626,4931375,5580329,5408426,2034,0,0,275325,0,0,183,0,127886,197520,16463803
7/1/17,20719.71988,19581.21457,4892709,4931375,5580329,2050,0,0,282983,0,0,157,0,128305,170300,15557191
10/1/17,23816.26376,20893.74352,5959217,5244421,5083278,2112,0,0,305866,0,0,193,0,129194,118663,13141932
4/1/18,23250.23275,24022.71663,6514256,6941162,6190657,2247,23,0,0,0,0,182,0,131298,103890,14787734
9/1/18,18940.6693,17074.94243,5540295,4975403,4726526,0,0,0,397595,120415345,0,110,0,133931,97986,17122158
1/1/17,80849.68908,78327.2876,21085213,19742206,20773362,2881282,0,0,625176,0,67,1726,13,78533,14,29855322
7/1/17,81443.46846,75381.80076,22772983,22833949,22146017,2877692,0,0,707010,0,67,1536,13,111483,29,198271126
7/1/17,2954.094578,3078.228822,583143,723371,761943,58104,0,0,25964,0,42,319,31,2424,4,1921554
8/1/16,895.7597077,884.5306959,719893,720397,397304,6793033,0,0,0,0,0,7149,0,0,0,0
12/1/17,10725.92796,11369.1219,3076120,2904666,3323156,998469,0,0,374155,0,65,763,52,16111,44,5892804
2/1/18,12542.96446,12825.57237,3584947,4506662,3076120,995262,0,0,424096,0,64,807,52,17589,44,6176163
3/1/18,13522.06241,12542.96446,3619675,3584947,4506662,993243,2243,0,449966,1891094,64,757,52,18227,44,6323820
12/1/16,482594.7513,365401.484,109072713,85262246,84364326,6239348,0,0,878484,0,77,10855,0,0,0,0
5/1/17,380398.0307,380182.6154,89991443,87066902,85431777,6226009,0,0,1169821,0,75,6943,0,0,0,0
9/1/17,390655.7123,394055.2895,86352168,87893142,90197218,6210739,0,0,1481159,0,79,7391,0,0,0,0
11/1/17,423423.9937,447783.3094,97582071,95483856,86352168,6199902,0,0,1744358,0,80,5278,0,0,0,0
3/1/18,458191.9121,419529.524,112933109,105309547,113909561,6183620,5341,0,2314189,8238491,77,5438,0,0,0,0
10/1/18,476783.9296,448964.3738,126002478,117928655,122264500,6120373,3202,0,3057948,9062441,77,8111,0,244424,6,41795150
